Cluster 5,Cluster 10,Cluster 15,Cluster 20,Cluster 25,Cluster 30,Cluster 35,Cluster 40,Name,State,MSA,Total Population (2019),Population Change,Median Age,% Population in Labor Force,% Population in Poverty,% Population People of Color,$% Population with Bachelor's Degree,% Population Foreign Born,Net Domestic Migration,Higher Education Employment,Higher Education Establishments,Hospital Employment,Hospital Establishments,Higher Education Enrollment,High Research Doctoral Degree Institutions,Total Pell Grant Amounts Awarded,Hospitals/Community Hospitals,Hospital Beds,NIH Research Funding
5,3,7,10,16,30,34,25,Baton Rouge,LA,Baton RougeLA,854318,8.42135587928845,35.6,63.1,15.9,40.77252264379306,27.6,4,-1579,7777.41,40,14242.31,60,64442,1,23829120,19,2480,0
5,8,2,14,1,9,11,12,Morgantown,WV,MorgantownWV,139157,10.713575355435157,34.2,58.699999999999996,19.5,9.856493025862873,35.699999999999996,4.6,-1111,5269.25,13,9555.33,8,31660,1,6569002,4,963,0
4,8,8,10,6,1,6,7,Springfield,MA,SpringfieldMA,699480,1.2097771874308272,39.3,62.1,14.799999999999999,15.9941670955567,32.800000000000004,8.3,-2112,18528.87,42,16253.33,38,86651,1,16120205,9,1632,7716912
4,7,4,18,16,27,29,11,Urban Honolulu,HI,Urban HonoluluHI,984821,5.105423358349759,37.9,66.60000000000001,8.3,79.06035716135217,35,19.7,-6775,15270.06,98,17059.559999999998,29,66798,1,10374434,11,1877,3116302
5,5,3,5,8,15,10,15,Hanford-Corcoran,CA,Hanford-CorcoranCA,150691,-0.2852000370561547,31.8,55.60000000000001,18.2,32.27067309925609,14.7,18.9,-577,72.78,3,1990.85,4,6665,0,1484912,2,248,0
4,8,14,11,4,17,25,16,Greeley,CO,GreeleyCO,305345,25.728814955118185,34.4,68.2,10,9.678560317018455,27.500000000000004,8.7,598,3571.17,13,2235.81,2,24914,0,4265294,4,474,0
5,4,11,13,25,21,21,36,Salisbury,MD-DE,SalisburyMD-DE,404417,227.82947747280363,45.5,57.4,12.6,23.640697596787476,27.3,7.1,2044,2679.85999999999,9,6288.38,17,17204,1,3623992,5,651,0
5,2,8,16,7,29,16,9,Twin Falls,ID,Twin FallsID,108599,0,34.2,65.7,15.299999999999999,7.821434819841803,19.7,10.6,1190,585.46,4,1846.14,11,12791,0,1680573,2,231,0
5,3,7,3,24,6,5,22,Albany,GA,AlbanyGA,148436,-5.771672337616174,36.9,58.4,24.2,57.8741006224905,20,2.3,-359,1234.63,4,2828.34,5,12159,0,8011950,2,460,0
1,2,8,16,7,19,30,5,South Bend-Mishawaka,IN-MI,South Bend-MishawakaIN-MI,321739,0.8741154597414758,38.1,62.8,14.899999999999999,20.360913659829862,27.800000000000004,5.7,-902,11539.76,12,6423.01,5,26330,1,6029749,4,770,0
4,1,12,19,19,10,35,34,Nashville-Davidson--Murfreesboro--Franklin,TN,Nashville-Davidson--Murfreesboro--FranklinTN,1871903,21.43063337270952,36.4,68.60000000000001,11.4,22.44934700142048,36.199999999999996,8.3,12233,22978.03,61,54231.69,65,116480,2,38224670,27,5027,284934924
1,2,8,7,22,19,30,26,Lynchburg,VA,LynchburgVA,261652,5.1901166670687005,39.9,59.099999999999994,13.200000000000001,22.00938651338419,27.500000000000004,3.3000000000000003,-77,4421.92,15,3955.37,10,121983,0,7862282,3,1208,0
5,3,7,3,24,6,5,22,Florence,SC,FlorenceSC,205502,0.9842800210320357,39.9,57.99999999999999,18.9,45.392745569386186,21.9,2.4,-1171,1395.07,3,3531.31999999999,16,11560,0,5379132,7,1147,0
5,3,7,3,12,29,34,28,Lawton,OK,LawtonOK,127620,6.436923487514812,33.3,63.1,16.2,36.60711487227707,21.8,5.3,334,999.65,12,2071.15,4,6119,0,2360560,2,530,0
4,8,8,10,6,1,6,7,Akron,OH,AkronOH,703845,0.10695597879655239,40.3,64.3,13.100000000000001,18.654107083235655,31.7,4.9,-1561,5535.28,13,18859.81,17,58967,2,13072546,8,2033,155132
1,3,15,17,15,11,19,21,Brunswick,GA,BrunswickGA,117400,7.608685689144723,42.7,57.8,18.3,28.200170357751276,25,4.1000000000000005,189,604.99,3,1961.53,2,4436,0,1766701,1,532,0
5,3,7,3,16,30,34,25,Memphis,TN-MS-AR,MemphisTN-MS-AR,1339623,2.9490919486523604,36.3,64.1,17.599999999999998,53.65106451591232,28.299999999999997,5.3,-3076,9035.50999999999,29,34711.630000000005,44,77065,1,35759198,18,3793,107236811
1,2,10,4,3,8,1,29,Fond du Lac,WI,Fond du LacWI,102597,1.6627196068133898,41.6,67.10000000000001,8.4,7.178572472879324,23.1,3.4000000000000004,-70,1020.46,4,1625.25,2,10310,0,1538765,2,162,0
